model,corpus,scheme,task,n,accuracy,precision,recall,f1,accuracy_ci_low,accuracy_ci_high,mean_input_tokens,mean_output_tokens
gpt-4.1,ag_news,acrostic,detection,8,0.875,1.0,0.75,0.8571428571428571,0.625,1.0,179.875,25.75
gpt-4.1,imdb,acrostic,detection,8,0.75,0.75,0.75,0.75,0.375,1.0,311.125,28.5
gpt-4.1,wikitext2,acrostic,detection,8,1.0,1.0,1.0,1.0,1.0,1.0,353.0,30.0
gpt-4.1,ag_news,keyword_dense,detection,8,1.0,1.0,1.0,1.0,1.0,1.0,274.875,29.125
gpt-4.1,imdb,keyword_dense,detection,8,0.75,0.6666666666666666,1.0,0.8,0.375,1.0,276.25,29.0
gpt-4.1,wikitext2,keyword_dense,detection,8,1.0,1.0,1.0,1.0,1.0,1.0,285.625,28.5
gpt-4.1,ag_news,keyword_diluted,detection,8,0.75,1.0,0.5,0.6666666666666666,0.375,1.0,478.25,46.375
gpt-4.1,imdb,keyword_diluted,detection,8,0.875,1.0,0.75,0.8571428571428571,0.625,1.0,480.125,57.0
gpt-4.1,wikitext2,keyword_diluted,detection,8,0.75,1.0,0.5,0.6666666666666666,0.375,1.0,500.0,29.125
gpt-5,ag_news,acrostic,detection,8,1.0,1.0,1.0,1.0,1.0,1.0,178.875,42.375
gpt-5,imdb,acrostic,detection,8,0.875,1.0,0.75,0.8571428571428571,0.625,1.0,310.125,42.75
gpt-5,wikitext2,acrostic,detection,8,1.0,1.0,1.0,1.0,1.0,1.0,352.0,43.0
gpt-5,ag_news,keyword_dense,detection,8,0.875,0.8,1.0,0.8888888888888888,0.625,1.0,273.875,42.0
gpt-5,imdb,keyword_dense,detection,8,0.875,0.8,1.0,0.8888888888888888,0.625,1.0,275.25,42.0
gpt-5,wikitext2,keyword_dense,detection,8,0.625,0.5714285714285714,1.0,0.7272727272727273,0.25,1.0,284.625,42.0
gpt-5,ag_news,keyword_diluted,detection,8,0.625,0.5714285714285714,1.0,0.7272727272727273,0.25,0.875,477.25,42.0
gpt-5,imdb,keyword_diluted,detection,8,0.625,0.5714285714285714,1.0,0.7272727272727273,0.25,1.0,479.125,42.0
gpt-5,wikitext2,keyword_diluted,detection,8,1.0,1.0,1.0,1.0,1.0,1.0,499.0,42.0
gpt-4.1,ac,external_detection,external_detection,8,0.5,0.0,0.0,0.0,0.125,0.875,72.875,18.0
gpt-4.1,adg,external_detection,external_detection,8,0.5,0.0,0.0,0.0,0.125,0.875,79.125,18.0
gpt-4.1,hc5,external_detection,external_detection,8,0.5,0.0,0.0,0.0,0.125,0.875,74.625,18.0
gpt-5,ac,external_detection,external_detection,8,0.5,0.0,0.0,0.0,0.125,0.875,71.875,34.5
gpt-5,adg,external_detection,external_detection,8,0.5,0.0,0.0,0.0,0.125,0.875,78.125,34.5
gpt-5,hc5,external_detection,external_detection,8,0.5,0.0,0.0,0.0,0.125,0.875,73.625,35.0
