model,corpus,scheme,n,exact_recovery,exact_ci_low,exact_ci_high,char_accuracy,char_ci_low,char_ci_high,mean_input_tokens,mean_output_tokens
gpt-4.1,ag_news,acrostic,4,0.5,0.0,1.0,0.7559523809523809,0.375,1.0,210.75,30.5
gpt-4.1,imdb,acrostic,4,0.5,0.0,1.0,0.755952380952381,0.375,1.0,342.0,32.75
gpt-4.1,wikitext2,acrostic,4,1.0,1.0,1.0,1.0,1.0,1.0,383.5,32.5
gpt-4.1,ag_news,keyword_dense,4,0.5,0.0,1.0,0.8392857142857143,0.625,1.0,299.75,30.75
gpt-4.1,imdb,keyword_dense,4,0.75,0.25,1.0,0.9642857142857143,0.8928571428571429,1.0,300.75,30.5
gpt-4.1,wikitext2,keyword_dense,4,1.0,1.0,1.0,1.0,1.0,1.0,310.25,30.5
gpt-4.1,ag_news,keyword_diluted,4,0.25,0.0,0.75,0.6309523809523809,0.21428571428571427,0.9285714285714286,503.0,30.0
gpt-4.1,imdb,keyword_diluted,4,0.0,0.0,0.0,0.38095238095238093,0.0,0.7619047619047619,505.0,29.5
gpt-4.1,wikitext2,keyword_diluted,4,0.5,0.0,1.0,0.7083333333333334,0.25,1.0,525.0,30.25
gpt-5,ag_news,acrostic,4,0.75,0.25,1.0,0.9642857142857143,0.8928571428571429,1.0,209.75,45.5
gpt-5,imdb,acrostic,4,0.25,0.0,0.75,0.6309523809523809,0.21428571428571427,0.9285714285714286,341.0,44.75
gpt-5,wikitext2,acrostic,4,0.75,0.25,1.0,0.9583333333333334,0.8750000000000001,1.0,382.5,45.75
gpt-5,ag_news,keyword_dense,4,0.25,0.0,0.75,0.8392857142857143,0.7142857142857142,0.9583333333333334,298.75,43.5
gpt-5,imdb,keyword_dense,4,0.75,0.25,1.0,0.9642857142857143,0.8928571428571429,1.0,299.75,43.5
gpt-5,wikitext2,keyword_dense,4,0.5,0.0,1.0,0.7916666666666667,0.49999999999999994,1.0,309.25,43.75
gpt-5,ag_news,keyword_diluted,4,0.25,0.0,0.75,0.7976190476190477,0.5892857142857143,0.9583333333333334,502.0,43.75
gpt-5,imdb,keyword_diluted,4,0.25,0.0,0.75,0.4642857142857143,0.0,0.9285714285714286,504.0,44.0
gpt-5,wikitext2,keyword_diluted,4,0.0,0.0,0.0,0.125,0.041666666666666664,0.16666666666666666,524.0,42.25
